log_timestamp| session_start| running_time| iteration_start| iteration_end| iteration_duration| data_written| data_failed| memory_usage
2024-08-09 07:33:06.303479|2024-08-09 07:21:32.317927|0:11:19.813193|2024-08-09 07:21:46.477881|2024-08-09 07:33:06.291074|0:11:19.813193|95904|58400|{}
2024-08-09 07:51:06.060584|2024-08-09 07:21:32.317927|0:16:52.654191|2024-08-09 07:45:33.214598|2024-08-09 07:51:06.055596|0:05:32.840998|3755|2347|{}
2024-08-09 08:02:13.835269|2024-08-09 07:21:32.317927|0:21:55.208533|2024-08-09 07:57:11.275940|2024-08-09 08:02:13.830282|0:05:02.554342|1857|1153|{}
2024-08-09 08:14:14.855037|2024-08-09 07:21:32.317927|0:28:24.012347|2024-08-09 08:07:46.046235|2024-08-09 08:14:14.850049|0:06:28.803814|1804|1100|{}
2024-08-09 08:26:17.792264|2024-08-09 07:21:32.317927|0:33:20.123767|2024-08-09 08:21:21.675853|2024-08-09 08:26:17.787273|0:04:56.111420|2141|1300|{}
2024-08-09 08:37:59.937805|2024-08-09 07:21:32.317927|0:39:36.642328|2024-08-09 08:31:43.415256|2024-08-09 08:37:59.933817|0:06:16.518561|1795|1100|{}
2024-08-09 08:51:15.514121|2024-08-09 07:21:32.317927|0:45:58.541124|2024-08-09 08:44:53.610339|2024-08-09 08:51:15.509135|0:06:21.898796|2132|1300|{}
2024-08-09 09:04:11.786879|2024-08-09 07:21:32.317927|0:51:55.684116|2024-08-09 08:58:14.638902|2024-08-09 09:04:11.781894|0:05:57.142992|2132|1300|{}
2024-08-09 09:17:05.487013|2024-08-09 07:21:32.317927|0:58:16.657056|2024-08-09 09:10:44.509088|2024-08-09 09:17:05.482028|0:06:20.972940|2132|1300|{}
2024-08-09 09:30:01.095298|2024-08-09 07:21:32.317927|1:04:14.172520|2024-08-09 09:24:03.574849|2024-08-09 09:30:01.090313|0:05:57.515464|2132|1300|{}
2024-08-09 09:42:13.608520|2024-08-09 07:21:32.317927|1:09:53.963844|2024-08-09 09:36:33.811199|2024-08-09 09:42:13.602523|0:05:39.791324|2079|1247|{}
2024-08-09 09:54:05.753694|2024-08-09 07:21:32.317927|1:15:33.172194|2024-08-09 09:48:26.540359|2024-08-09 09:54:05.748709|0:05:39.208350|1923|1155|{}
2024-08-09 10:06:10.706681|2024-08-09 07:21:32.317927|1:21:25.198720|2024-08-09 10:00:18.675169|2024-08-09 10:06:10.701695|0:05:52.026526|1906|1198|{}
2024-08-09 10:18:15.332743|2024-08-09 07:21:32.317927|1:27:02.603190|2024-08-09 10:12:37.919522|2024-08-09 10:18:15.323992|0:05:37.404470|2128|1300|{}
2024-08-09 10:31:07.706013|2024-08-09 07:21:32.317927|1:33:44.258242|2024-08-09 10:24:26.045975|2024-08-09 10:31:07.701027|0:06:41.655052|1868|1100|{}
2024-08-09 10:44:10.203358|2024-08-09 07:21:32.317927|1:39:25.630390|2024-08-09 10:38:28.826223|2024-08-09 10:44:10.198371|0:05:41.372148|2297|1401|{}
2024-08-09 10:56:12.846358|2024-08-09 07:21:32.317927|1:45:13.146967|2024-08-09 10:50:25.324793|2024-08-09 10:56:12.841370|0:05:47.516577|1952|1199|{}
2024-08-09 11:08:11.259931|2024-08-09 07:21:32.317927|1:50:49.826995|2024-08-09 11:02:34.574917|2024-08-09 11:08:11.254945|0:05:36.680028|2076|1293|{}
2024-08-09 11:20:14.680816|2024-08-09 07:21:32.317927|1:56:43.615000|2024-08-09 11:14:20.886827|2024-08-09 11:20:14.674832|0:05:53.788005|1811|1107|{}
2024-08-09 11:33:04.547120|2024-08-09 07:21:32.317927|2:03:05.156076|2024-08-09 11:26:42.999856|2024-08-09 11:33:04.540932|0:06:21.541076|2132|1300|{}
2024-08-09 11:45:17.046519|2024-08-09 07:21:32.317927|2:08:18.456708|2024-08-09 11:40:03.740901|2024-08-09 11:45:17.041533|0:05:13.300632|2132|1300|{}
2024-08-09 11:57:12.343035|2024-08-09 07:21:32.317927|2:14:29.421066|2024-08-09 11:51:01.373690|2024-08-09 11:57:12.338048|0:06:10.964358|1804|1100|{}
