log_timestamp| session_start| running_time| iteration_start| iteration_end| iteration_duration| data_written| data_failed| memory_usage
2024-08-09 12:09:05.276443|2024-08-09 07:21:32.317927|2:19:35.321395|2024-08-09 12:03:59.360157|2024-08-09 12:09:05.260486|0:05:05.900329|2132|1300|{}
2024-08-09 12:20:19.398640|2024-08-09 07:21:32.317927|2:25:13.893494|2024-08-09 12:14:40.822552|2024-08-09 12:20:19.394651|0:05:38.572099|1804|1100|{}
2024-08-09 12:32:14.520225|2024-08-09 07:21:32.317927|2:30:57.192868|2024-08-09 12:26:31.215897|2024-08-09 12:32:14.515271|0:05:43.299374|1904|1136|{}
2024-08-09 12:45:14.054449|2024-08-09 07:21:32.317927|2:37:39.361917|2024-08-09 12:38:31.880412|2024-08-09 12:45:14.049461|0:06:42.169049|1976|1208|{}
2024-08-09 12:58:08.679273|2024-08-09 07:21:32.317927|2:43:11.757668|2024-08-09 12:52:36.277539|2024-08-09 12:58:08.673290|0:05:32.395751|2352|1456|{}
2024-08-09 13:09:16.080000|2024-08-09 07:21:32.317927|2:48:13.917320|2024-08-09 13:04:13.915362|2024-08-09 13:09:16.075014|0:05:02.159652|1804|1100|{}
2024-08-09 13:20:12.230356|2024-08-09 07:21:32.317927|2:53:37.818745|2024-08-09 13:14:48.323947|2024-08-09 13:20:12.225372|0:05:23.901425|1804|1100|{}
2024-08-09 13:31:15.229101|2024-08-09 07:21:32.317927|2:58:45.475259|2024-08-09 13:26:07.568597|2024-08-09 13:31:15.225111|0:05:07.656514|1804|1100|{}
2024-08-09 13:42:13.549356|2024-08-09 07:21:32.317927|3:04:06.056653|2024-08-09 13:36:52.958984|2024-08-09 13:42:13.540378|0:05:20.581394|1804|1100|{}
2024-08-09 13:53:12.476971|2024-08-09 07:21:32.317927|3:09:12.939707|2024-08-09 13:48:05.588930|2024-08-09 13:53:12.471984|0:05:06.883054|1804|1100|{}
2024-08-09 14:04:11.579694|2024-08-09 07:21:32.317927|3:14:35.391351|2024-08-09 13:58:49.124062|2024-08-09 14:04:11.575706|0:05:22.451644|1804|1100|{}
2024-08-09 14:15:59.306346|2024-08-09 07:21:32.317927|3:20:28.855811|2024-08-09 14:10:05.837896|2024-08-09 14:15:59.302356|0:05:53.464460|1804|1100|{}
2024-08-09 14:28:10.119151|2024-08-09 07:21:32.317927|3:26:11.329508|2024-08-09 14:22:27.640466|2024-08-09 14:28:10.114163|0:05:42.473697|2039|1207|{}
2024-08-09 14:41:08.675865|2024-08-09 07:21:32.317927|3:32:53.629639|2024-08-09 14:34:26.370747|2024-08-09 14:41:08.670878|0:06:42.300131|1977|1209|{}
2024-08-09 14:54:10.221190|2024-08-09 07:21:32.317927|3:38:32.873548|2024-08-09 14:48:30.972295|2024-08-09 14:54:10.216204|0:05:39.243909|2338|1442|{}
2024-08-09 15:05:13.342171|2024-08-09 07:21:32.317927|3:43:23.052230|2024-08-09 15:00:23.158502|2024-08-09 15:05:13.337184|0:04:50.178682|1892|1142|{}
2024-08-09 15:17:12.173562|2024-08-09 07:21:32.317927|3:50:02.849154|2024-08-09 15:10:32.371652|2024-08-09 15:17:12.168576|0:06:39.796924|1740|1082|{}
2024-08-09 15:30:16.784349|2024-08-09 07:21:32.317927|3:55:48.543130|2024-08-09 15:24:31.085419|2024-08-09 15:30:16.779395|0:05:45.693976|2271|1375|{}
2024-08-09 15:43:09.824347|2024-08-09 07:21:32.317927|4:02:22.058608|2024-08-09 15:36:36.303883|2024-08-09 15:43:09.819361|0:06:33.515478|2011|1243|{}
2024-08-09 15:56:10.932504|2024-08-09 07:21:32.317927|4:08:10.787503|2024-08-09 15:50:22.198621|2024-08-09 15:56:10.927516|0:05:48.728895|2196|1300|{}
2024-08-09 16:08:02.267615|2024-08-09 07:21:32.317927|4:13:39.281427|2024-08-09 16:02:33.769702|2024-08-09 16:08:02.263626|0:05:28.493924|2067|1299|{}
2024-08-09 16:19:15.528464|2024-08-09 07:21:32.317927|4:18:51.709217|2024-08-09 16:14:03.096685|2024-08-09 16:19:15.524475|0:05:12.427790|1805|1101|{}
2024-08-09 16:30:16.978277|2024-08-09 07:21:32.317927|4:24:09.924079|2024-08-09 16:24:58.758428|2024-08-09 16:30:16.973290|0:05:18.214862|1804|1100|{}
2024-08-09 16:41:12.609281|2024-08-09 07:21:32.317927|4:29:15.718175|2024-08-09 16:36:06.810194|2024-08-09 16:41:12.604290|0:05:05.794096|1804|1100|{}
2024-08-09 16:52:16.737499|2024-08-09 07:21:32.317927|4:34:44.314700|2024-08-09 16:46:48.134991|2024-08-09 16:52:16.731516|0:05:28.596525|1804|1100|{}
2024-08-09 17:04:14.598666|2024-08-09 07:21:32.317927|4:40:41.347765|2024-08-09 16:58:17.559644|2024-08-09 17:04:14.592709|0:05:57.033065|1804|1100|{}
2024-08-09 17:17:08.952508|2024-08-09 07:21:32.317927|4:47:02.971588|2024-08-09 17:10:47.323700|2024-08-09 17:17:08.947523|0:06:21.623823|2132|1300|{}
