log_timestamp| session_start| running_time| iteration_start| iteration_end| iteration_duration| data_written| data_failed| memory_usage
2024-08-08 10:26:09.990351|2024-08-08 10:19:27.077935|0:06:29.313234|2024-08-08 10:19:40.667144|2024-08-08 10:26:09.980378|0:06:29.313234|2296|1400|{}
2024-08-08 10:39:07.745563|2024-08-08 10:19:27.077935|0:12:19.149200|2024-08-08 10:33:17.904610|2024-08-08 10:39:07.740576|0:05:49.835966|2132|1300|{}
2024-08-08 10:51:14.327790|2024-08-08 10:19:27.077935|0:18:01.815180|2024-08-08 10:45:31.656824|2024-08-08 10:51:14.322804|0:05:42.665980|2032|1200|{}
