log_timestamp| session_start| running_time| iteration_start| iteration_end| iteration_duration| data_written| data_failed| memory_usage
2024-08-10 00:52:06.130717|2024-08-10 00:30:47.036831|0:21:04.138809|2024-08-10 00:31:01.978939|2024-08-10 00:52:06.117748|0:21:04.138809|4528|2800|{"init_agent": [214.44140625, 19.61323046684265], "write_instruments_table_deribit": [678.8359375, 26.094367504119873], "write_instruments_status": [342.9609375, 178.31244945526123], "write_marketdata_in_db": [686.078125, 266.5614335536957], "read_last_date_from_index": [2722.01171875, 483.1589937210083], "write_index_data": [2721.9375, 310.0115647315979]}
2024-08-10 01:28:07.273397|2024-08-10 00:30:47.036831|0:33:54.867028|2024-08-10 01:15:16.540223|2024-08-10 01:28:07.268442|0:12:50.728219|6788|4100|{"write_marketdata_in_db": [626.60546875, 300.447119474411], "read_last_date_from_index": [2513.12109375, 256.3586277961731], "write_index_data": [2513.4921875, 213.92047905921936]}
2024-08-10 01:54:08.581549|2024-08-10 00:30:47.036831|0:45:49.107610|2024-08-10 01:42:14.331990|2024-08-10 01:54:08.572572|0:11:54.240582|4364|2700|{"write_marketdata_in_db": [628.9765625, 257.0336356163025], "read_last_date_from_index": [2513.2265625, 315.33168363571167], "write_index_data": [2513.33203125, 141.8732681274414]}
2024-08-10 02:19:03.230683|2024-08-10 00:30:47.036831|0:57:38.303462|2024-08-10 02:07:14.022863|2024-08-10 02:19:03.218715|0:11:49.195852|4056|2456|{"write_marketdata_in_db": [628.82421875, 247.6139612197876], "read_last_date_from_index": [2514.375, 324.3250231742859], "write_index_data": [2514.28515625, 137.25686740875244]}
2024-08-10 02:44:08.777698|2024-08-10 00:30:47.036831|1:09:43.911205|2024-08-10 02:32:03.158018|2024-08-10 02:44:08.765761|0:12:05.607743|3980|2444|{"write_marketdata_in_db": [628.9453125, 241.06514954566956], "read_last_date_from_index": [2514.82421875, 310.3156998157501], "write_index_data": [2515.54296875, 174.22589707374573]}
2024-08-10 03:11:06.988623|2024-08-10 00:30:47.036831|1:23:24.562733|2024-08-10 02:57:26.324128|2024-08-10 03:11:06.975656|0:13:40.651528|4264|2600|{"write_marketdata_in_db": [629.83203125, 270.1404798030853], "read_last_date_from_index": [2514.5546875, 332.85530948638916], "write_index_data": [2514.81640625, 217.65573906898499]}
2024-08-10 03:39:03.450725|2024-08-10 00:30:47.036831|1:36:18.980897|2024-08-10 03:26:09.023614|2024-08-10 03:39:03.441778|0:12:54.418164|4676|2820|{"write_marketdata_in_db": [630.578125, 250.47629117965698], "read_last_date_from_index": [2515.9453125, 342.325311422348], "write_index_data": [2515.65625, 181.61361169815063]}
2024-08-10 04:05:10.598881|2024-08-10 00:30:47.036831|1:48:14.678032|2024-08-10 03:53:14.891772|2024-08-10 04:05:10.588907|0:11:55.697135|4414|2686|{"write_marketdata_in_db": [630.08984375, 238.75147151947021], "read_last_date_from_index": [2516.46875, 352.33818650245667], "write_index_data": [2516.578125, 124.60747718811035]}
